slug,url,title,date,content_text,image_urls,local_image_files
field-trip-dry-composting-toilet-project,https://www.rotarysmamidday.org/news/field-trip-dry-composting-toilet-project,Field Trip: Dry Composting Toilet Project,4/9/2019,"Members of the Midday Rotary Club of San Miguel de Allende got an eye opening experience with a visit the village of Juan Gonzalez to learn more about the Dry Composting Toilet Project. 
The new officers of the club were provided with a thorough understanding of how the Midday Rotary Club operates our Water and Sanitation projects, with presentations from representatives from CEDESA as well as several residents of Juan Gonzalez. 
The rotary members not only learned how these projects are more than just water or sanitation projects, but also gained a better understanding of how these projects change lives and in some cases, can save lives. 
A wonderful lunch was proved by the ladies of Juan Gonzalez before our group headed back to San Miguel de Allende.",https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/newsletter-photo_orig.jpg,harvest/news/images/field-trip-dry-composting-toilet-project__01__newsletter-photo_orig.jpg
first-landeta-park-reforestation-cleanup-and-maintenance-day-successful,https://www.rotarysmamidday.org/news/first-landeta-park-reforestation-cleanup-and-maintenance-day-successful,"​First Landeta Park Reforestation, Cleanup, and Maintenance Day Successful",8/16/2025,"More than 35 people including families, Red Cross SMA Youth, our club, Rotaract, friends, and other volunteers joined forces for environmental sustainability recently in the first reforestation and cleanup of Landeta Park.
The team cleaned, inspected trees, and planted 47 native trees, sowing the future of a greener, healthier San Miguel. Thanks to President-Elect Jose de Anda for his leadership!",https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/2025-08-22-landetta-outting-1_orig.jpg,harvest/news/images/first-landeta-park-reforestation-cleanup-and-maintenance-day-successful__01__2025-08-22-landetta-outting-1_orig.jpg
girls-empowerment-graduation-may-2023,https://www.rotarysmamidday.org/news/girls-empowerment-graduation-may-2023,Girls Empowerment Graduation - May 2023,5/5/2023,"Graduation Day is always extraordinary! This week we had 4 graduating classes with 86 new WISE GIRLS!
We want to give you a SNEAK PEEK at what happens on the last day of our workshops.
​""The Girls' Prayer"" ~ Words by our Wise Maestra, Arleth
It is the last module of the Wise Girls' workshop.
On this day, the Girls bring flowers and seeds to create their altar, ""a matrix of flowers"".
Each seed, flower, leaf, or carving carries an intention, a prayer to life, to the Girls of this earth, to the 4 elementals: fire, earth, water, and wind.
When it is ready, we circle around the altar to circulate the word; the Girls share what they liked best about the workshop, share a thank you and a commitment to themselves, and present a drawing as an offering.
A recollection is made of everything learned and shared in these 5 days of workshop with songs corresponding to each module.
This is an inspiring day. Finally, the Girls graduate from the Wise Girls workshop. There is nostalgia and joy, laughter and tears.
They receive their sustainable management menstrual kit (made by   Days for Girls International  ) and dance around the great containing ""womb.""
As a final closure, the Girls raise the altar and choose a tree to sow their prayers and intentions.
This is how this closing day is lived, very emotional and rewarding for the Wise Girls and Wise Teachers.
Learn more about the Girls Empowerment Program HERE.   ​​",,
girls-empowerment-program-article-rotary-district-4140-bulletin,https://www.rotarysmamidday.org/news/girls-empowerment-program-article-rotary-district-4140-bulletin,Girls Empowerment Program Article [] Rotary District 4140 Bulletin,8/22/2024,,https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/edited/boletin-sept-2024-district-4140.jpg?1726685734,harvest/news/images/girls-empowerment-program-article-rotary-district-4140-bulletin__01__boletin-sept-2024-district-4140.jpg
girls-empowerment-program-conference,https://www.rotarysmamidday.org/news/girls-empowerment-program-conference,Girls' Empowerment Program Presentation to Guanajuato Educators,9/8/2024,"On Monday, September 9, 2024, the     Midday Rotary Club Girls' Empowerment Program     team and teachers gave a presentation in preparation for the beginning of the new school session. The event was attended by several representatives of the Secretary of Education of Guanajuato and directors and teachers from the schools participating in the next stage of the program from September to December. More than 50 people attended, and 100% of the 22 participating schools were represented. Sixteen of the original pilot program schools were included in the group, as the program returns to teach a new group of 5th and 6th grade girls. 
In this presentation to the educational authorities, the program teachers summarized the content of each of the program’s five modules, generating great interest, support and excitement. In addition, the attendees were informed of the school selection process, schedules and special requirements for the arrival of the instructional teams. Attendees were also reminded that the girls’ mothers are welcome to participate in the first session with their daughters in order to better understand the nature and content of the program and to foster a united community among the women.
By the end of this school session, more than 3,100 girls will have been taught and empowered through the     Girls’ Empowerment Program    .
You can help us change lives!   
Volunteer Drivers are needed to transport our Teachers  
Make a donation to the Girls' Empowerment Program 
Cost to teach & provide a reusable menstrual hygiene kit is 500MXN per girl  
​   Contact us for more information    
Select Girls' Empowerment Program",https://www.paypal.com/en_US/i/scr/pixel.gif,harvest/news/images/girls-empowerment-program-conference__01__pixel.gif
girls-empowerment-program-empowers-adults-as-well,https://www.rotarysmamidday.org/news/girls-empowerment-program-empowers-adults-as-well,"Girls’ Empowerment Program Empowers Adults, as Well!",11/9/2025,"by Robin Loving
Our Girls’ Empowerment Program is empowering more than fifth and sixth-grade girls in the State of Guanajuato, Mexico: It’s empowering government officials, volunteers, and other Rotary Clubs in three countries!
Imagine how empowered State of Guanajuato officials felt when they approved our entering schools during the school day to teach girls about the physical changes they would face as they become women! If you have ever worked in government, you know how empowering change-making can be when it’s not just process but progress!
Volunteer sewing groups in Canada, Mexico and the United States have been empowered to learn to work with special fabrics that are used to create reusable menstrual hygiene kits for each of the 4,000 girls who now are equipped to stay in school that week that they used to stay home due to a lack of appropriate supplies.
Volunteer drivers in Mexico have been empowered to venture into unfamiliar territory in the countryside near us in order to ferry our teachers to the girls’ schools each day for the two-hour courses over five-days.
And, of course, the Mexican girls receiving the information and the kits are empowered with information that boosts their self-confidence, their self-esteem, and their womanly wisdom so that they may manage not only their personal processes but also whether they stay in school and whether they become sexually active, thereby empowering them to compete with their male counterparts and go further in their academic studies.
Recently, we saluted our multinational partners, our teachers, and our volunteers at a Rotary meeting. We have had more than 40 volunteer drivers in our first two and a half years of the program, one third of whom have been Rotarians, two thirds of whom have been others. We have six teachers.
Special recognition went to the 49er Rotary Club of Nevada City, CA; the Rotary Club of Nelson, British Columbia; the Rotary Club of Nakusp, British Columbia, the Interact Club of Nelson, British Columbia, Days for Girls sewing groups in Chanhassen, MN and Richmond, VA; Niñas Sabias curriculum training provided by Hana Figueroa; the Girls’ Empowerment Program Team Leader Teri Kavanagh; Project Manager José de Anda; Volunteer Driver Coordinator Kerry Fautsch; Program Champions Lee Carter, Carla Cadena and Andrea Spessard; Midday Rotarian Phillip Jares who has led much of the sewing, and the initial Rotary Midday team that realized the need, developed the concept, and helped create the props used in classes, Tom Schneider and Nory Oxenberg.
Enjoy these photos of the girls and so many other newly empowered people!
Request More Information     *  Indicates required field    				 Name  *   				   				  					  					 First  				  				  					  					 Last  				  				   			  			        				 Email  *   				  					  				  				   			       				 Comment  *   				  					   				  				   			   			  			 		  		  			  		  		  			  			  			  			  			  			  				 Submit  			  		  	  	          					 				 				  					 						                         Join the Movement HERE                    ​Girls’ Empowerment Program Project Manager José de Anda, Teacher Arlene Nájera Ávila and Rotary Club of Nelson, British Columbia member Terry Lund, whose Rotary Club donated 50 reusable kits                  Rotarian Terry Lund from the Rotary Club of Nelson, British Columbia, attending a Girls’ Empowerment Program graduation where he helped distribute kits that were donated by the Rotary Club of Nakusp, British Columbia                 ​Girls with the props used to teach them about their transition into womanhood and the kits they will be using in the process.",https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/gep-2026-05_orig.jpg | https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/picture4_orig.jpg | https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/picture5_orig.jpg | https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/picture3_orig.jpg,harvest/news/images/girls-empowerment-program-empowers-adults-as-well__02__picture4_orig.jpg | harvest/news/images/girls-empowerment-program-empowers-adults-as-well__03__picture5_orig.jpg | harvest/news/images/girls-empowerment-program-empowers-adults-as-well__04__picture3_orig.jpg
girls-empowerment-project-orders-700-more-kits-for-24-more-schools,https://www.rotarysmamidday.org/news/girls-empowerment-project-orders-700-more-kits-for-24-more-schools,Girls’ Empowerment Project Orders 700 More Kits for 24 More Schools,8/22/2025,"Thanks to the California 49ers Club, President-Elect Jose de Anda and President Andrea Spessard just ordered hundreds more reusable menstrual management kids for more than a score more schools to empower girls to become confident, educated women. These will be distributed beginning in the second week of September when school is in session again. 
​Find out more about the    Girls' Empowerment Program.        	  		  			  				 What more information about this project?     *  Indicates required field    				 Name  *   				   				  					  					 First  				  				  					  					 Last  				  				   			  			        				 Email  *   				  					  				  				   			       				 Comment  *   				  					   				  				   			   			  			 		  		  			  		  		  			  			  			  			  			  			  				 Submit",https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/2025-08-22-kits_orig.jpg,harvest/news/images/girls-empowerment-project-orders-700-more-kits-for-24-more-schools__01__2025-08-22-kits_orig.jpg
girls-graduate-from-girls-empowerment-program,https://www.rotarysmamidday.org/news/girls-graduate-from-girls-empowerment-program,Graduation Day from Girls' Empowerment Program,10/24/2025,"by Tom  Murlowski 
​I've known at least a dozen women in my life – including my mother! – who all shared a similar experience: Because of cultural and religious biases and misplaced shame, none of them had any idea what was happening when they had their first menstrual period. One can imagine how frightening that must have been.
​In October, I was privileged to observe the graduation ceremony for     The Girls’ Empowerment Program     at the primary school in Sosnabar, a rural community near San Miguel. The program teaches fifth- and sixth-grade girls about the changes taking place in their bodies as they become young women by using creative educational materials and a curriculum in the “Niñas Sabias Program” – the Wise Girls Program. 
Twenty girls attended the graduation ceremony during the final two-hour module of the five-day program, led by their teacher, Arlene, who led the girls and visitors in appealing to the four corners of the Earth and honoring the Four Elements: Air, Fire, Water, and Earth. This was meant to connect the changes in their bodies with the inherent magic of life and nature.
Then came the careful construction of a mandala – a circle symbolic of a spiritual journey. Inside it, the girls created representations in the shape of a woman's reproductive system with fresh flower petals and seeds the girls contributed. Then, each girl offered a piece of personal artwork to the circle with a drawing about what they learned in the workshop. 
It was wonderful to watch them joyfully collaborating in this unique and beautiful expression. The graduation event concluded with the gifting of reusable menstrual hygiene kits that last up to three years. In addition to teaching the girls to be proud of who they are and instilling self-confidence, the program informs the girls so they have a much better chance of successfully completing their educations. 
Our observing Rotary team included Project Manager and President-Elect Jose de Anda, Member Evelyn Grewal, two visiting Rotarians from the 49ers Club in California, and New Member Tom Murlowski.
This program is just one of Rotary Midday Club’s eight projects serving our community. Rotary’s involvement during the school day has been approved by the Secretary of Education of the State of Guanajuato. It is funded and administered by the Rotary Club of San Miguel de Allende-Midday and a $91,000 USD global grant from The Rotary Foundation. 
​The program has educated and equipped almost 4,000 girls since January 2023.      	  		  			  				 Contact Us for more Information     *  Indicates required field    				 Name  *   				   				  					  					 First  				  				  					  					 Last  				  				   			  			        				 Email  *   				  					  				  				   			       				 Comment  *   				  					   				  				   			   			  			 		  		  			  		  		  			  			  			  			  			  			  				 Submit",https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/892504617.jpg | https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/2025-09-1_orig.jpg | https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/2025-09-2_orig.jpg | https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/2025-09-3_orig.jpg,harvest/news/images/girls-graduate-from-girls-empowerment-program__01__892504617.jpg | harvest/news/images/girls-graduate-from-girls-empowerment-program__02__2025-09-1_orig.jpg | harvest/news/images/girls-graduate-from-girls-empowerment-program__03__2025-09-2_orig.jpg | harvest/news/images/girls-graduate-from-girls-empowerment-program__04__2025-09-3_orig.jpg
hope-paves-way-for-magic-at-rotary-district-4140-celebration,https://www.rotarysmamidday.org/news/hope-paves-way-for-magic-at-rotary-district-4140-celebration,Hope Paves Way for Magic at Rotary District 4140 Celebration,6/28/2024,"by Robin Loving
​Rotarians from almost 20 clubs filled three ballrooms at Hotel Real de Minas Saturday night to install officers, recognize outstanding accomplishments, and toast a new Rotary year. District Governor Claudia emotionally expressed how this year’s hope had paved the way for next year’s magic, emphasizing that we are a family of joyous workers. All this on the eve of our club’s 19th birthday.
“I slept and I dreamed that life is all joy. I woke and I saw that life is all service. I served and I saw that service is joy,” she said, quoting Khalil Gibran.
No one seemed more joyous than President-elect Lee Carter, who received resounding rounds of applause when he was featured as both president-elect of our club and the next global grants coordinator of our district.
The pomp and circumstance was first accompanied by a brass band and an all-female color guard. Then, as the second band played, all enjoyed enormous steaks in mushroom sauce accompanied by colorful veggies and wines that ensured that the camaraderie continued through the third band’s music.
“it’s going to be a spectacular year,” said Lee, who will be serving a third term as our president. “Please let me know what magic you want to create in joyful service to our beloved community,” he concluded.",,
hospice-hosts-first-health-fair-free,https://www.rotarysmamidday.org/news/hospice-hosts-first-health-fair-free,​Hospice Hosts First Health Fair — FREE!,8/19/2025,"Past President Lee Carter and Co-Vice President, Projects, Carla Cadena will host the first Hospice health fair Thursday, August 28 at the Lee Carter Center at Prolongacion Cuesta de San Jose 93    (MAP)    from 9 a.m. - 1 p.m. with a variety of services, including:   ​ Aromatherapy   Guided tours   Instant HIV testing   Massages  Mental health screenings for:  Addictions  Anxiety  Depression  Suicide risk  Violence     Municipal Institute for Women’s Support (IMAM) Services   Oral health    Risk factor screenings for:  Blood pressure  Glucose     San Miguel de Allende Comprehensive Rehabilitation Center (CRISMA) Services   Thanatology (grief and loss with emotional support)   Traditional medicine   Vaccination station for people aged 20 to 60   Vision and optical health (Prescription lenses)   Weight and height  
Requirements include:  Official ID  Vaccination card (You can get one during the event.)  
Hope to see you there!    					 				 				  					 						                    	  		  			  				 Questions or Comments?     *  Indicates required field    				 Name  *   				   				  					  					 First  				  				  					  					 Last  				  				   			  			        				 Email  *   				  					  				  				   			       				 Comment  *   				  					   				  				   			   			  			 		  		  			  		  		  			  			  			  			  			  			  				 Submit",https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/2025-28-08-feria-de-salud_orig.jpg,harvest/news/images/hospice-hosts-first-health-fair-free__01__2025-28-08-feria-de-salud_orig.jpg
international-volunteer-day-for-midday-rotary,https://www.rotarysmamidday.org/news/international-volunteer-day-for-midday-rotary,International Volunteer Day for Midday Rotary!,12/8/2022,"By Paola Velasco
On December 5, celebrating International Volunteer Day, Midday Rotary members teamed up with Rotaract (Young Rotarians) to clean up the Las Cachinches Stream, a waterway that crosses the city from the Guadalupe neighborhood to El Parian square.
The work was hard, there was a lot of garbage that accumulated during the rainy season; They ended up with a truck full of garbage, mostly plastic objects. This cleaning guarantees not to contaminate the waterways any more when the next rainy season arrives. Volunteers had the opportunity to speak to locals, police, and the media about the importance of protecting rivers and natural spaces.
For Midday Rotary the spirit of volunteering and the spread of Rotary consciousness is essential, Teaming up for the common welfare is something that motivates you to volunteer and be able to help the community.
¡Thank you very much for your work!",https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/609025974.gif,harvest/news/images/international-volunteer-day-for-midday-rotary__01__609025974.gif
joe-ruffino-launches-his-rotary-presidential-year-with-the-big-reveal,https://www.rotarysmamidday.org/news/joe-ruffino-launches-his-rotary-presidential-year-with-the-big-reveal,Joe Ruffino Launches His Rotary Presidential Year with The Big Reveal!,7/6/2023,"by Robin Loving
“We are here because we love the people, projects, and opportunities to improve the community’s sustainability,” said Joe Ruffino, Rotary Midday’s President for 2023-2024 when he took office July 4. “We create hope in the world, the rewards of which are immeasurable. We have been recognized globally as an outstanding club thanks to outgoing President Lee and others over our 18-year, legacy-making history, and we’re not stopping there,” he continued.
Joe went on to say that we will focus on organizational continuity and collaboration with both Rotaract’s younger members and the 'night club' of Spanish-speaking Rotarians who meet at another place and time each week. Meanwhile, we will continue focusing on outstanding meetings, projects, and international opportunities. One of those will be with an international partner that has success in turning around youth who might otherwise become incarcerated.     “We are people of action,” said Joe as he introduced the incoming 2023-24      Board of Directors  .     Each Board Member then explained how they would contribute to the success of the club.     					 				 				  					 						                   Passing of the gavel from Lee Carter to Joe Ruffino Jr.    					 				 			  		  	           	  		  			  				  					 						    New Member Inductions      To kick off his presidential year, Joe inaugurated four new members, as follows:   Robert Ash, who began as a Rotary scholar and is contributing expertise to our water projects  Carla Cadena, who has worked behind the scenes for many years to ensure our success  Lee Woodworth, who has a long, proud legacy of service to Kiwanis, Rotary, and Health Organizations  Jill Noack,  who has previous Rotary experience in the US      
“Create hope in the world in whatever Rotary way appeals to you,” continued Joe, whose enthusiasm filled the room and the hearts of all there. “Our service is so impactful Rotary International is considering featuring us on its magazine cover,” he concluded.",https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/lee-joe_orig.jpg,harvest/news/images/joe-ruffino-launches-his-rotary-presidential-year-with-the-big-reveal__01__lee-joe_orig.jpg
kitchener-conestoga-rotarians-visit-a-watershed-project-of-the-rotary-club-of-san-miguel-de-allende-midday,https://www.rotarysmamidday.org/news/kitchener-conestoga-rotarians-visit-a-watershed-project-of-the-rotary-club-of-san-miguel-de-allende-midday,Kitchener-Conestoga Rotarians Visit a Watershed Project of the Rotary Club of San Miguel de Allende-Midday,11/8/2024,"On October 31, visiting Rotarians from the Kitchener-Conestoga Rotary Club in Ontario, Canada joined members of the Rotary Club of San Miguel de Allende-Midday for a tour of one of its projects in rural communities of San Miguel. The Midday Rotary Club has partnered with the organization Salvemos Al Rio Laja on a Watershed Education Program. The Midday Rotary Club is helping to fund the program with the support of the Kitchener-Conestoga Rotary Club and the 49ers Rotary Club of Nevada City, California. The program is building tree and plant nurseries and providing education for children from primary schools to preparatory (high) schools and the parents in their communities. The focus is on planting native, low water consumption plants and trees for soil erosion prevention, rainwater collection, reforestation, food consumption and healthy nutrition through nature-based solutions. The primary school children learn about nature and pollinators through art. The preparatory school students learn to manage their own projects, including building and maintaining the viveros (plant nurseries), starting plants from seeds and cuttings, mulching and composting with lirio (water hyacinth), creating healthy, cost-effective soil, planting native trees and plants for soil erosion prevention, developing rain gardens for rainwater catchment and adapting to climate change. Some of the students have graduated from preparatory school, continued their education at universities and have become facilitators for the Salvemos Al Rio Laja program. 
The timing of the visiting Rotarians’ visit to San Miguel was ideal, and they ended their visit with a fun reception to celebrate Dia de Los Muertos with members from Rotary Clubs in Oregon and California and members of the San Miguel-Midday Rotary Club. These Rotary Clubs also provide financial support for the Escuela de Educacion Especial, the school for deaf children in San Miguel.",https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/whatsapp-image-2024-11-07-at-13-11-58-23_orig.jpeg,harvest/news/images/kitchener-conestoga-rotarians-visit-a-watershed-project-of-the-rotary-club-of-san-miguel-de-allende-midday__01__whatsapp-image-2024-11-07-at-13-11-58-23_orig.jpeg
letter-from-joe-ruffino,https://www.rotarysmamidday.org/news/letter-from-joe-ruffino,Letter from Joe Ruffino,6/30/2023,"June 30, 2023
To All My Dear Fellow Rotarians:
It is difficult for me not to feel an overwhelming emotion when I think of how special this Rotary Club family is to me. When my dear late wife and I spoke about the opportunity to serve as president of this club, she said, ""You love those people and what they do and you should do it!"" Many things have changed since that decision was made, but the heartfelt love that I still have for this club has not. 
During President Lee’s administration, we experienced some exceptional growth and accomplishments. While most clubs struggled to keep their numbers, we grew. While most clubs struggled to keep projects moving, we grew and added. While most clubs struggled to diversify, we did it. All of our projects and their outreach have been incredible. The respect and recognition that we receive from our district and clubs far and wide shows we are such a vibrant group and people of action.
This is the time that our club needs to put the pedal to the metal. We have never been a group to just sit back, rest, and coast, and we certainly aren't going to start doing that now. The Board of this Club this year is a rocking powerhouse. Their energy, enthusiasm, knowledge and work ethic will mold this group into a Club that will be talked about around the globe in the next 3-to-5 years, seriously.
This Club is not about coasting; it’s about moving forward and creating hope. You joined this club to make a difference; now is your time to make that difference. Let's volunteer more, let's give more, let's be leaders and let's show San Miguel how we work together hand in hand creating that hope. I am excited and proud to become the president of this vibrant club for 2023-2024 I love you all, thank you!
Joe Ruffino
President 2023-24",https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/rotary-sma-hope-2023_orig.jpg,harvest/news/images/letter-from-joe-ruffino__01__rotary-sma-hope-2023_orig.jpg
lh4-prosthetic-hand-project-inauguration,https://www.rotarysmamidday.org/news/lh4-prosthetic-hand-project-inauguration,LN4 Prosthetic Hand Project Inauguration,11/23/2024,"On Saturday, November 23, members from the Midday Rotary Club joined Club Rotaract to inaugurate the    LN4 Prosthetic Hand Project    here in San Miguel de Allende. The project will be ongoing, so there will be additional events in the upcoming years.
This incredible event provided prosthetic hands for 10 lucky recipients who joyfully learned the mechanics of how to wear and use the device for the daily tasks that we may take for granted.
Tears of joy were shed by many, including us Rotarians! Talk about a life-changing event! We left that day with our hearts full for all of the people that we helped.
This project exemplifies Rotary's commitment to Service Above Self, providing hope and improving lives in our community and beyond.
The LN4 Prosthetic Hand Project is making a real difference in the lives of people who have lost hands, empowering them to regain independence and participate more fully in their communities.",,
little-known-facts-about-our-2025-2026-board,https://www.rotarysmamidday.org/news/little-known-facts-about-our-2025-2026-board,​Little-known Facts about Our 2025-2026 Board of Directors!,7/7/2025,"by Robin Loving, Club Services Vice President
Our new Board of Directors recently met to plan the year, but they got to know one another a little better first. A salient fact is that several of the new members have started to live our Rotary commitment to volunteerism by stepping up to leadership positions already, which makes this especially important for knowing our newbies! Here is a snapshot of the new board members:
President Andrea is a Virginia native who managed dozens of large shopping malls and mixed-use properties in the U.S. and Canada. When she takes time away from Rotary, St. Paul’s and her homeowner association, she enjoys being involved in adventure sports such as scuba diving, sky diving, and – most recently – taking a submersible to the bottom of the Southern Ocean in Antarctica!
President-Elect Jose de Anda is a San Miguel native who worked for the Municipality’s treasury department before beginning a career in public relations and tourism.
​Past-President Lee Carter is a Virginia native former import/export business entrepreneur who founded Mitigare Hospice, plays tennis five times a week, and has been our president three times! 
Secretary Phillip Jares is a rural Minnesota native who earned a degree in Human Resources before going to nursing school and then working for 30 years in the U.S. Postal Service!
​Treasurer Melody Smith is a Seattle native who is a former stock broker who once lived on a 1.5 square-mile island with only 40 people! Her best friend is her dog, Charlie, and her favorite hobby is gardening.
Club Services Vice President Robin Loving is a Texas native who has worked with presentations since she was in high school and has worked in public relations since she was in college. She has worked with nonprofits for the past 35 years.
Co-Membership Vice President Joyce Grenis resonates with Rotary’s “Is It Fair to All Concerned?” part of the Four-Way Test so much that she flies the Swiss flag to indicate her neutrality!
Co-Membership Vice President Kathy Zapata learned Spanish as a high school foreign exchange student in Peru and spent several years in Peru, Spain and Mexico. As a U.S. lawyer, she focused on immigration. She practices yoga and reads voraciously – presently about climate change.
Co-Projects Vice President Carla Cadena is a San Miguel native who works as the operations director at Mitigare Hospice. Her dad is a locally famous tailor!
Co-Projects Vice President Jill Noack worked as the internal security project manager for Home Depot in the U.S. and Canada. She currently is producing a coffee table book about corn based on interviews with the women leaders at Corralejo de Abajo who are fighting to maintain the original corn species here. She and her husband are even growing corn eight-feet high on their roof!
Co-Sergeant-at-Arms Carla Espinoza is a Chihuahua native who works in Mexico, the U.S. and France as a psychologist. She is the proud mom of Jerome, and her grandfather was the maestro who built the Quebrada bridge!
Co-Sergeant-at-Arms Elizabeth Adlung is an Indiana native from a farm family. She came to SMA to study art, and now makes jeweled sculpture. 
The Board is hopeful that all of us in the club will get to know one another better in this Rotary year!",,
mayor-mauricio-trejo-outlines-vision-for-smas-future-at-special-rotary-club-meeting,https://www.rotarysmamidday.org/news/mayor-mauricio-trejo-outlines-vision-for-smas-future-at-special-rotary-club-meeting,Mayor Mauricio Trejo Outlines Vision for SMA’s Future at Special Rotary Club Meeting,10/29/2024,"San Miguel de Allende, Guanajuato – October 29, 2024  – In a special meeting held at the Angela Peralta Theater on October 29, Mayor Mauricio Trejo shared his vision and plans for the future of San Miguel de Allende. The gathering, attended by local leaders and residents, underscored the city’s ongoing growth, security concerns, and infrastructure priorities as part of the mayor’s newly re-elected term.
Lee Carter, President of the Midday Rotary Club, opened the meeting by highlighting the club’s long-standing contributions to the community and said, “We’ve been fortunate to work hand-in-hand with Mayor Trejo and local officials to help bring tangible change to this community.” Following Carter's remarks, Mayor Trejo took the stage to outline his administration’s goals and reaffirm his commitment to the people of San Miguel. Trejo, who was recently re-elected for a second term (his third in total!) assured the audience that much of the work from his first term would continue. 
Key Goals and Accomplishments
The mayor highlighted several significant achievements and set ambitious goals for the future. Trejo emphasized that San Miguel de Allende is the number one municipality in Mexico for water treatment, a point of pride for his administration. He also expressed his commitment to maintaining the city’s reputation as a ""magical town,"" with a strong focus on safety. “We want everyone to feel safe,” he said, adding that San Miguel’s police force is among the best-trained, best-paid, and best-equipped in the state of Guanajuato. “We are a clean administration. No one in my government accepts anything from cartels. We are dedicated to protecting our town and our people.” Moving forward, Trejo plans to increase investments in criminal investigations to prevent future crimes. Trejo also praised David Bossman, a charter member of the Rotary Club, for his contributions to security communication efforts in the city.
On the topic of health, Trejo noted that while infrastructure improvements were a focus in his first term, his administration will now shift focus to supporting families dealing with issues like alcoholism, drug abuse, and domestic violence. ""We will invest in people—men, women, and children—prioritizing mental and physical health services,"" he said.
Addressing Community Concerns 
During the Q&A session, several residents posed important questions regarding urban development, environmental concerns, and safety issues, especially in light of the recent deaths on the libramiento. “We’re going to reduce the presence of trucks in the city,” he said, explaining that trucks and trailers will only be allowed on the Caracol Libramiento between 11 p.m. and 6 a.m., with special permits for certain types of deliveries.
Another concern raised was the growing pressure on San Miguel’s water resources, particularly with the expansion of agriculture and residential developments. Trejo acknowledged the issue and explained that while raising water prices may be unpopular, it is necessary. “I will have the opportunity to raise water prices in certain areas, like hot springs and hotels, to ensure that our water resources are sustainable,” he said, adding that water pricing will remain lower in poorer neighborhoods.
Trejo also addressed concerns about the invasive water hyacinths (lirio) at the Presa Allende. He noted that while the Federation has the responsibility to clear the hyacinths, they have yet to take action. “We are pressing them to act,” he said. He also explained that the contamination from surrounding settlements, which drain untreated gray water into the reservoir, exacerbates the problem.
Regarding distracted driving and dangerous motorcyclists, Trejo pointed out the challenge of enforcing traffic laws. “This is an educational issue,” he said. “I cannot use my police force to issue tickets when there are no strict regulations in place. But we will continue to work on this.”
Looking Ahead 
​With plans for sustainable development, better infrastructure, and enhanced security, Mayor Trejo’s second term is looking promising for San Miguel de Allende. The city’s future remains focused on balancing growth with preservation of its unique cultural identity, as well as addressing the challenges that come with increased urbanization.",https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/whatsapp-image-2024-10-29-at-15-58-09_orig.jpeg,harvest/news/images/mayor-mauricio-trejo-outlines-vision-for-smas-future-at-special-rotary-club-meeting__01__whatsapp-image-2024-10-29-at-15-58-09_orig.jpeg
